Fwd_rate	Rev_rate	Net_Rate	PEI	Reaction_String
0.034187491	2.71304E-05	3.42E-02	9.99E-01	R26 + R3 <=> R218
0.034187491	2.17445E-08	3.42E-02	1.00E+00	R3 + R27 <=> R77
0.034187491	1.20143E-11	3.42E-02	1.00E+00	R27 + R3 <=> R219
0.034187491	4.30674E-10	3.42E-02	1.00E+00	R3 + R28 <=> R220
0.034187491	1.79869E-10	3.42E-02	1.00E+00	R3 + R28 <=> R145
0.034187491	1.072942717	-1.04E+00	3.09E-02	R28 + R3 <=> R221
0.034187491	2.02997E-06	3.42E-02	1.00E+00	R29 + R3 <=> R222
0.034187491	4.09963E-06	3.42E-02	1.00E+00	R3 + R30 <=> R80
0.034187491	1.04196E-07	3.42E-02	1.00E+00	R30 + R3 <=> R223
0.034187491	7.22576E-09	3.42E-02	1.00E+00	R3 + R41 <=> R198
0.034187491	1.52315E-08	3.42E-02	1.00E+00	R3 + R41 <=> R199
0.034187491	0.048173492	-1.40E-02	4.15E-01	R41 + R3 <=> R224
0.034187491	0.028189129	6.00E-03	5.48E-01	R42 + R3 <=> R225
0.034187491	7.67205E-10	3.42E-02	1.00E+00	R3 + R86 <=> R226
0.034187491	1.58913E-12	3.42E-02	1.00E+00	R3 + R86 <=> R227
0.034187491	0.001590545	3.26E-02	9.56E-01	R86 + R3 <=> R228
0.034187491	1.56576E-05	3.42E-02	1.00E+00	R4 + R15 <=> R100
0.034187491	1.31228E-07	3.42E-02	1.00E+00	R4 + R17 <=> R229
0.034187491	6.43822E-09	3.42E-02	1.00E+00	R4 + R26 <=> R149
0.034187491	0.00331664	3.09E-02	9.12E-01	R4 + R26 <=> R150
0.034187491	3.7173E-07	3.42E-02	1.00E+00	R4 + R27 <=> R230
0.034187491	9.56586E-12	3.42E-02	1.00E+00	R4 + R28 <=> R231
0.034187491	3.93562E-08	3.42E-02	1.00E+00	R4 + R28 <=> R153
0.034187491	6.55032E-08	3.42E-02	1.00E+00	R4 + R30 <=> R232
0.034187491	3.01738E-12	3.42E-02	1.00E+00	R4 + R41 <=> R202
0.034187491	1.33031E-08	3.42E-02	1.00E+00	R4 + R41 <=> R203
0.034187491	7.28379E-10	3.42E-02	1.00E+00	R4 + R86 <=> R233
0.034187491	1.48462E-06	3.42E-02	1.00E+00	R4 + R86 <=> R234
0.034187491	1.86514E-10	3.42E-02	1.00E+00	R5 + R15 <=> R102
0.034187491	2.55473E-12	3.42E-02	1.00E+00	R5 + R26 <=> R156
0.034187491	5.69767E-07	3.42E-02	1.00E+00	R5 + R26 <=> R157
0.034187491	0.000158352	3.40E-02	9.95E-01	R5 + R27 <=> R235
0.034187491	4.21497E-08	3.42E-02	1.00E+00	R6 + R15 <=> R104
0.034187491	8.91412871	-8.88E+00	3.82E-03	R15 + R6 <=> R236
0.034187491	0.017282241	1.69E-02	6.64E-01	R16 + R6 <=> R237
0.034187491	5.23444E-12	3.42E-02	1.00E+00	R6 + R26 <=> R159
0.034187491	0.011755234	2.24E-02	7.44E-01	R6 + R26 <=> R160
0.034187491	2.022915856	-1.99E+00	1.66E-02	R26 + R6 <=> R238
0.034187491	1.46209E-05	3.42E-02	1.00E+00	R6 + R27 <=> R239
0.034187491	1.63466E-08	3.42E-02	1.00E+00	R27 + R6 <=> R240
0.034187491	9.63404E-06	3.42E-02	1.00E+00	R13 + R15 <=> R106
0.034187491	0.008787637	2.54E-02	7.96E-01	R15 + R13 <=> R241
0.034187491	2.60084E-07	3.42E-02	1.00E+00	R16 + R13 <=> R242
0.034187491	8.72988E-05	3.41E-02	9.97E-01	R13 + R17 <=> R230
0.034187491	9.00646E-12	3.42E-02	1.00E+00	R17 + R13 <=> R243
0.034187491	4.610302926	-4.58E+00	7.36E-03	R13 + R18 <=> R235
0.034187491	4.44775E-09	3.42E-02	1.00E+00	R18 + R13 <=> R244
0.034187491	7.1122E-07	3.42E-02	1.00E+00	R13 + R19 <=> R239
0.034187491	1.53608E-13	3.42E-02	1.00E+00	R19 + R13 <=> R245
0.034187491	0.093942177	-5.98E-02	2.67E-01	R13 + R26 <=> R163
0.034187491	0.000130412	3.41E-02	9.96E-01	R13 + R26 <=> R164
0.034187491	0.001605048	3.26E-02	9.55E-01	R26 + R13 <=> R246
0.034187491	3.214993186	-3.18E+00	1.05E-02	R13 + R27 <=> R247
0.034187491	9.79374E-11	3.42E-02	1.00E+00	R27 + R13 <=> R248
0.034187491	3.00391E-06	3.42E-02	1.00E+00	R13 + R28 <=> R249
0.034187491	0.004883533	2.93E-02	8.75E-01	R13 + R28 <=> R167
0.034187491	4.00126E-06	3.42E-02	1.00E+00	R28 + R13 <=> R250
0.034187491	3.020067644	-2.99E+00	1.12E-02	R29 + R13 <=> R251
