Fwd_rate	Rev_rate	Net_Rate	PEI	Reaction_String
4.27647E-07	0.001349185	-1.35E-03	3.17E-04	R1 + R86 <=> R164
4.27647E-07	0.006520517	-6.52E-03	6.56E-05	R86 + R1 <=> R165
4.27647E-07	0.005947253	-5.95E-03	7.19E-05	R1 + R87 <=> R166
4.27647E-07	0.007838143	-7.84E-03	5.46E-05	R1 + R87 <=> R167
4.27647E-07	2.044239302	-2.04E+00	2.09E-07	R87 + R1 <=> R168
4.27647E-07	24604.65066	-2.46E+04	1.74E-11	R88 + R1 <=> R169
4.27647E-07	0.002476531	-2.48E-03	1.73E-04	R1 + R89 <=> R170
4.27647E-07	2.111153354	-2.11E+00	2.03E-07	R1 + R89 <=> R171
4.27647E-07	1.652765075	-1.65E+00	2.59E-07	R89 + R1 <=> R172
4.27647E-07	1.56387E-06	-1.14E-06	2.15E-01	R1 + R90 <=> R173
4.27647E-07	0.002183187	-2.18E-03	1.96E-04	R1 + R90 <=> R174
4.27647E-07	0.161540513	-1.62E-01	2.65E-06	R90 + R1 <=> R175
4.27647E-07	6967.697055	-6.97E+03	6.14E-11	R91 + R1 <=> R176
4.27647E-07	1.37756E-07	2.90E-07	7.56E-01	R2 + R15 <=> R96
4.27647E-07	1.699030779	-1.70E+00	2.52E-07	R15 + R2 <=> R177
4.27647E-07	4.171236417	-4.17E+00	1.03E-07	R16 + R2 <=> R178
4.27647E-07	1.52549E-06	-1.10E-06	2.19E-01	R2 + R17 <=> R58
4.27647E-07	8.24972E-07	-3.97E-07	3.41E-01	R17 + R2 <=> R179
4.27647E-07	0.103763972	-1.04E-01	4.12E-06	R2 + R18 <=> R63
4.27647E-07	0.000940603	-9.40E-04	4.54E-04	R18 + R2 <=> R180
4.27647E-07	0.12370328	-1.24E-01	3.46E-06	R2 + R19 <=> R67
4.27647E-07	0.002009656	-2.01E-03	2.13E-04	R19 + R2 <=> R181
4.27647E-07	6.73584E-05	-6.69E-05	6.31E-03	R2 + R26 <=> R130
4.27647E-07	9.281E-07	-5.00E-07	3.15E-01	R2 + R26 <=> R131
4.27647E-07	0.13450847	-1.35E-01	3.18E-06	R26 + R2 <=> R182
4.27647E-07	0.023046729	-2.30E-02	1.86E-05	R2 + R27 <=> R69
4.27647E-07	0.000266856	-2.66E-04	1.60E-03	R27 + R2 <=> R183
4.27647E-07	7.55005E-05	-7.51E-05	5.63E-03	R2 + R28 <=> R184
4.27647E-07	0.000714346	-7.14E-04	5.98E-04	R2 + R28 <=> R135
4.27647E-07	77.19226654	-7.72E+01	5.54E-09	R28 + R2 <=> R185
4.27647E-07	6019.273098	-6.02E+03	7.10E-11	R29 + R2 <=> R186
4.27647E-07	0.019154852	-1.92E-02	2.23E-05	R2 + R30 <=> R72
